fcc hcp ico 
0.182199 0.135973 0.221745 
0.179984 0.14326 0.227491 
0.215643 0.155557 0.266756 
0.194612 0.126575 0.255339 
0.212047 0.146225 0.274021 
0.180892 0.117126 0.235752 
0.177648 0.128044 0.229206 
0.20579 0.142081 0.265241 
0.198397 0.13769 0.238362 
0.18748 0.135627 0.238102 
0.225145 0.160896 0.2794 
0.167277 0.127489 0.207075 
0.206731 0.154912 0.261959 
0.224942 0.15734 0.280943 
0.172456 0.0973418 0.245261 
0.165814 0.140221 0.22444 
0.207347 0.148949 0.244869 
0.190805 0.138956 0.253499 
0.220619 0.167495 0.279133 
0.164806 0.133691 0.223838 
0.186974 0.13241 0.215956 
0.189047 0.143022 0.230753 
0.190472 0.133599 0.245286 
0.181286 0.150494 0.22723 
0.222532 0.16515 0.280642 
0.186283 0.116626 0.252173 
0.201067 0.145233 0.257626 
0.193567 0.127368 0.247701 
0.220952 0.16775 0.268575 
0.216609 0.165144 0.275404 
0.189775 0.134136 0.238677 
0.182074 0.128364 0.230506 
0.231436 0.171175 0.281978 
0.204915 0.141804 0.262335 
0.178387 0.134223 0.210831 
0.229438 0.173942 0.285517 
0.197795 0.140415 0.250071 
0.181749 0.123636 0.233998 
0.214901 0.150664 0.256649 
0.19484 0.132104 0.259013 
0.172817 0.136867 0.228333 
0.183137 0.136251 0.214072 
0.22539 0.160807 0.279631 
0.196106 0.12183 0.254254 
0.180976 0.128027 0.241661 
0.180867 0.121507 0.237376 
0.217673 0.160415 0.262491 
0.178699 0.122302 0.246085 
0.21237 0.155363 0.261467 
0.206698 0.153186 0.262908 
0.164595 0.141782 0.205405 
0.209468 0.137231 0.266098 
0.176233 0.119982 0.227284 
0.213591 0.147834 0.26847 
0.172646 0.143001 0.213173 
0.219369 0.160007 0.279132 
0.206759 0.146967 0.264878 
0.216607 0.152941 0.278891 
0.183602 0.134121 0.222261 
0.174474 0.0907553 0.245931 
0.181931 0.128082 0.250103 
0.212431 0.147036 0.264585 
0.209025 0.145987 0.260443 
0.223054 0.167235 0.283884 
0.208635 0.144467 0.265895 
0.197282 0.140228 0.233208 
0.162931 0.117387 0.223674 
0.183093 0.127947 0.229473 
0.182477 0.141789 0.221417 
0.169182 0.116571 0.225057 
0.202751 0.147153 0.254687 
0.207405 0.163799 0.240487 
0.229193 0.176603 0.270864 
0.19162 0.141267 0.233153 
0.226398 0.166397 0.28705 
0.193213 0.134784 0.241744 
0.169631 0.0949153 0.248747 
0.226998 0.163537 0.27871 
0.17399 0.135747 0.217002 
0.199663 0.141844 0.236879 
0.200164 0.135293 0.253746 
0.175301 0.106633 0.227669 
0.18719 0.140357 0.220772 
0.185926 0.12274 0.248649 
0.202741 0.146995 0.257477 
0.191224 0.150992 0.241885 
0.201053 0.158562 0.232441 
0.182449 0.135255 0.224185 
0.230337 0.167806 0.287602 
0.175881 0.126579 0.225691 
0.175663 0.134375 0.22003 
0.212588 0.159581 0.261612 
0.184945 0.129023 0.240541 
0.161688 0.096109 0.232442 
0.200771 0.153474 0.249893 
0.235475 0.168553 0.292519 
0.206212 0.153707 0.257471 
0.201722 0.137822 0.261308 
0.172765 0.143378 0.210655 
0.17801 0.137806 0.221805 
0.194055 0.138472 0.242523 
0.197712 0.138797 0.240588 
0.208784 0.158395 0.266551 
0.17048 0.115593 0.229088 
0.191393 0.142479 0.239359 
0.195492 0.133376 0.246457 
0.147597 0.144225 0.180308 
0.222034 0.157982 0.28393 
0.183164 0.135048 0.226653 
0.181391 0.137762 0.204111 
0.200867 0.13767 0.255796 
0.203274 0.145133 0.25751 
0.161132 0.149229 0.179393 
0.180829 0.133747 0.235557 
0.207133 0.154106 0.267403 
0.226799 0.166928 0.287673 
0.166386 0.145858 0.176715 
0.203164 0.142383 0.255187 
0.179064 0.130613 0.238892 
0.18402 0.145225 0.236037 
0.204647 0.154332 0.258957 
0.19099 0.132694 0.233038 
0.246021 0.181334 0.302394 
0.207049 0.141071 0.254433 
0.199039 0.145729 0.248361 
0.174854 0.130177 0.22199 
0.190176 0.126144 0.239225 
0.208369 0.160298 0.254796 
0.213969 0.154807 0.269365 
0.20466 0.145881 0.258483 
0.197428 0.134154 0.275249 
0.222156 0.161401 0.265353 
0.235213 0.176229 0.28662 
0.210851 0.151521 0.263588 
0.19253 0.137079 0.242559 
0.217365 0.171327 0.26915 
0.220169 0.160658 0.269982 
0.199763 0.140005 0.257985 
0.214823 0.142901 0.263258 
0.212843 0.156923 0.264914 
0.190601 0.13976 0.23336 
0.203028 0.135831 0.257497 
0.186519 0.129311 0.237594 
0.164096 0.145479 0.207738 
0.229749 0.169286 0.275314 
0.171155 0.136313 0.200631 
0.163344 0.166642 0.139167 
0.165758 0.122845 0.224897 
0.199355 0.13863 0.252269 
0.189539 0.149739 0.225608 
0.194153 0.140525 0.228601 
0.128958 0.116004 0.195335 
0.21116 0.1594 0.274371 
0.234266 0.168565 0.292313 
0.182506 0.138933 0.21137 
0.223389 0.156944 0.270141 
0.170181 0.128753 0.208409 
0.143574 0.136433 0.194458 
0.196346 0.15002 0.250665 
0.163124 0.134576 0.186761 
0.189962 0.150068 0.24775 
0.206702 0.143565 0.247884 
0.193977 0.146082 0.270899 
0.182335 0.123702 0.243982 
0.207211 0.144055 0.260734 
0.207375 0.129741 0.267196 
0.163778 0.119241 0.218476 
0.18126 0.127714 0.223816 
0.18919 0.138777 0.240274 
0.217732 0.160054 0.266522 
0.200482 0.139589 0.262499 
0.233401 0.175155 0.296943 
0.204205 0.128693 0.259163 
0.195064 0.146631 0.252767 
0.19993 0.129041 0.241309 
0.180133 0.128002 0.233303 
0.192402 0.119368 0.255237 
0.174858 0.135406 0.224116 
0.179881 0.135686 0.238048 
0.20866 0.141559 0.274158 
0.194257 0.143005 0.244331 
0.108994 0.121768 0.194103 
0.234593 0.174578 0.287962 
0.211878 0.145612 0.270587 
0.211689 0.149275 0.257405 
0.189736 0.133018 0.245155 
0.21415 0.1523 0.272739 
0.237811 0.179941 0.294283 
0.203756 0.140029 0.255266 
0.205875 0.149915 0.254716 
0.199078 0.150919 0.251328 
0.181638 0.134957 0.245898 
0.164528 0.123217 0.221623 
0.215162 0.154834 0.271773 
0.164925 0.123088 0.219912 
0.192223 0.133007 0.240126 
0.183606 0.128968 0.233658 
0.180215 0.127697 0.234487 
0.195452 0.144629 0.25535 
0.159411 0.159305 0.14901 
0.208436 0.151338 0.246107 
0.204023 0.147778 0.260248 
0.201631 0.130071 0.256003 
0.192851 0.142471 0.237128 
0.200433 0.135841 0.255178 
0.223092 0.165109 0.280034 
0.214697 0.153894 0.267336 
0.183667 0.134672 0.225864 
0.183336 0.135505 0.242095 
0.202057 0.145199 0.257546 
0.161014 0.104374 0.231755 
0.198579 0.143487 0.254964 
0.144832 0.135125 0.21139 
0.184197 0.144057 0.237913 
0.1636 0.106482 0.228832 
0.1724 0.133335 0.23831 
0.187237 0.139956 0.225759 
0.198157 0.155071 0.245476 
0.190238 0.13785 0.234244 
0.170419 0.134855 0.190597 
0.205053 0.138343 0.26452 
0.203805 0.134997 0.244489 
0.213256 0.152354 0.254318 
0.207178 0.147911 0.249526 
0.15762 0.113382 0.213196 
0.188906 0.13958 0.244187 
0.166994 0.104217 0.234552 
0.172427 0.109585 0.244217 
0.187455 0.149173 0.228282 
0.192955 0.138 0.267073 
0.207411 0.16056 0.254617 
0.199172 0.147519 0.244767 
0.210713 0.160569 0.259867 
0.198082 0.133659 0.243191 
0.143151 0.130037 0.226164 
0.189421 0.141532 0.2376 
0.18192 0.138359 0.225694 
0.209517 0.154154 0.263054 
0.174308 0.12225 0.218139 
0.210753 0.13843 0.277741 
0.254744 0.19825 0.308266 
0.199154 0.141756 0.244942 
0.221694 0.162514 0.264188 
0.204263 0.140582 0.250403 
0.171167 0.139015 0.233797 
0.193034 0.141862 0.241788 
0.150008 0.131722 0.230008 
0.17266 0.145039 0.219108 
0.186157 0.124927 0.243817 
0.190416 0.146938 0.241276 
0.222735 0.161512 0.276878 
0.138464 0.129686 0.196169 
0.213067 0.148827 0.269083 
0.175959 0.127081 0.232991 
0.201283 0.134051 0.265801 
0.203598 0.144318 0.24116 
0.209139 0.153483 0.244852 
0.194348 0.140456 0.247245 
0.181604 0.12781 0.235986 
0.162064 0.125875 0.227028 
0.212031 0.15815 0.261144 
0.161595 0.127633 0.215783 
0.171055 0.134298 0.218835 
0.224584 0.165049 0.27352 
0.214135 0.15363 0.261753 
0.232892 0.179455 0.285135 
0.227048 0.161469 0.287717 
0.187934 0.138128 0.240836 
0.181822 0.116068 0.250204 
0.235961 0.164404 0.293292 
0.159986 0.115713 0.215167 
0.220224 0.156906 0.270734 
0.166454 0.145519 0.173705 
0.174128 0.147676 0.2089 
0.245785 0.184457 0.305729 
0.207676 0.1543 0.244463 
0.193441 0.138082 0.243227 
0.212807 0.156662 0.26695 
0.188499 0.133746 0.247502 
0.180398 0.14329 0.24367 
0.206194 0.149601 0.251114 
0.172005 0.157471 0.183576 
0.19608 0.137369 0.246465 
0.178383 0.135772 0.220828 
0.216765 0.151619 0.263075 
0.154315 0.115936 0.218147 
0.200584 0.143738 0.261 
0.192205 0.144585 0.230689 
0.217327 0.153254 0.271066 
0.145214 0.0852817 0.218247 
0.132229 0.134876 0.190994 
0.190085 0.145442 0.227773 
0.184154 0.130543 0.22537 
0.189267 0.144154 0.231744 
0.250861 0.185883 0.301202 
0.245019 0.187175 0.305128 
0.206009 0.137375 0.24909 
0.202567 0.151274 0.267036 
0.20663 0.148842 0.258882 
0.173225 0.125098 0.235836 
0.170781 0.138552 0.194374 
0.22027 0.155812 0.267563 
0.213006 0.148366 0.275829 
0.217557 0.14951 0.283698 
0.174083 0.111249 0.222018 
0.184307 0.121413 0.243119 
0.170673 0.140532 0.211141 
0.212415 0.154711 0.241412 
0.184303 0.129199 0.241523 
0.204219 0.149807 0.267581 
0.161941 0.138143 0.211045 
0.191443 0.133828 0.238909 
0.166858 0.136735 0.224554 
0.197355 0.138405 0.241296 
0.185032 0.152901 0.20983 
0.219961 0.159205 0.280758 
0.166071 0.133388 0.221717 
0.207494 0.16432 0.250376 
0.223355 0.161666 0.278062 
0.203241 0.145949 0.265398 
0.171585 0.125926 0.228021 
0.206554 0.142719 0.255024 
0.203508 0.147367 0.262592 
0.187402 0.145519 0.215373 
0.19808 0.132859 0.253176 
0.207404 0.147398 0.259958 
0.217991 0.160804 0.260975 
0.161534 0.142947 0.230585 
0.18716 0.146638 0.2433 
0.170508 0.0959386 0.247024 
0.18044 0.126746 0.240362 
0.192473 0.123944 0.26209 
0.179297 0.145089 0.225044 
0.222836 0.163185 0.282462 
0.165511 0.118754 0.226193 
0.219664 0.16865 0.281538 
0.190513 0.153777 0.218473 
0.226157 0.166043 0.283109 
0.193694 0.146846 0.241979 
0.228691 0.158201 0.284117 
0.183856 0.127495 0.217466 
0.21234 0.154594 0.250614 
0.205886 0.151372 0.263998 
0.165646 0.140386 0.204553 
0.19234 0.128765 0.264129 
0.158352 0.0941388 0.224612 
0.187251 0.119633 0.242724 
0.217022 0.153966 0.280269 
0.20056 0.137151 0.257433 
0.231934 0.168532 0.287005 
0.183648 0.13939 0.230059 
0.221343 0.165762 0.258054 
0.182982 0.136363 0.233078 
0.173948 0.131845 0.207355 
0.218105 0.164987 0.278224 
0.157437 0.137205 0.212781 
0.170978 0.141127 0.202719 
0.214885 0.156079 0.278753 
0.200889 0.143455 0.250396 
0.217118 0.161013 0.27145 
0.161899 0.144815 0.215441 
0.186788 0.142159 0.243705 
0.213275 0.158164 0.264895 
0.198683 0.135753 0.259545 
0.203625 0.139508 0.255704 
0.17478 0.124255 0.23191 
0.183128 0.153396 0.226112 
0.182204 0.112578 0.253901 
0.204572 0.141072 0.256074 
0.171728 0.11005 0.227254 
0.181351 0.130546 0.237099 
0.191446 0.126049 0.237818 
0.187363 0.151138 0.235578 
0.186188 0.136454 0.2433 
0.175966 0.141743 0.204882 
0.174767 0.124754 0.211533 
0.208027 0.134593 0.267703 
0.178907 0.122888 0.226544 
0.18692 0.129287 0.235547 
0.174059 0.127497 0.230188 
0.199194 0.143552 0.253301 
0.172866 0.147968 0.175249 
0.201893 0.148319 0.244267 
0.176086 0.128126 0.229843 
0.184466 0.133996 0.221808 
0.175497 0.14054 0.233561 
0.175847 0.123661 0.226221 
0.186865 0.140192 0.231614 
0.182319 0.153399 0.2034 
0.215229 0.149984 0.266231 
0.220279 0.15692 0.270035 
0.209108 0.131861 0.262413 
0.170524 0.0991173 0.236542 
0.210378 0.147488 0.256815 
0.181802 0.135822 0.228187 
0.184072 0.123603 0.244694 
0.218548 0.149873 0.280419 
0.247504 0.186618 0.310248 
0.194322 0.143748 0.225835 
0.172117 0.14384 0.204142 
0.217453 0.158026 0.262567 
0.197834 0.141227 0.251203 
0.206945 0.135572 0.274684 
0.204434 0.147822 0.2569 
0.202321 0.152602 0.252989 
0.207922 0.149519 0.259364 
0.160149 0.126402 0.218135 
0.17688 0.125347 0.228961 
0.212055 0.150994 0.264789 
0.21296 0.149734 0.269061 
0.184431 0.131588 0.223124 
0.226541 0.154537 0.283412 
0.201195 0.131835 0.258416 
0.189095 0.147139 0.251195 
0.198399 0.131318 0.242737 
0.14588 0.150826 0.172292 
0.195165 0.131148 0.254352 
0.220641 0.162665 0.268981 
0.187959 0.145773 0.232461 
0.205937 0.14861 0.26285 
0.214594 0.157261 0.258404 
0.205169 0.147501 0.260375 
0.236321 0.174168 0.276774 
0.227798 0.168681 0.284593 
0.200051 0.14929 0.24548 
0.194454 0.140891 0.242751 
0.188715 0.120272 0.246224 
0.214327 0.146983 0.262119 
0.20905 0.143079 0.270126 
0.200676 0.150642 0.236492 
0.211793 0.154823 0.262454 
0.193103 0.146034 0.257065 
0.193571 0.153628 0.232242 
0.197383 0.137106 0.24622 
0.200976 0.146552 0.264323 
0.197884 0.141227 0.25278 
0.179671 0.15556 0.205055 
0.164445 0.13965 0.212211 
0.204305 0.139486 0.252484 
0.182384 0.133114 0.248077 
0.18059 0.151338 0.23474 
0.198949 0.149356 0.236128 
0.190269 0.141045 0.259119 
0.188985 0.135019 0.225768 
0.162905 0.138599 0.198113 
0.230323 0.165574 0.277919 
0.190908 0.123745 0.255762 
0.18564 0.138541 0.225166 
0.227545 0.15488 0.285808 
0.195996 0.118146 0.26569 
0.168865 0.13045 0.196932 
0.181135 0.148864 0.226643 
0.193757 0.137268 0.227425 
0.23924 0.177069 0.305286 
0.185697 0.124677 0.235091 
0.181228 0.15643 0.237793 
0.177678 0.12827 0.232762 
0.192176 0.143772 0.246361 
0.199874 0.155523 0.248847 
0.172956 0.153706 0.2096 
0.215202 0.157405 0.263567 
0.147078 0.136692 0.202998 
0.210732 0.141254 0.26657 
0.235494 0.174695 0.286291 
0.187902 0.115954 0.257574 
0.147469 0.143999 0.160726 
0.221099 0.159448 0.273614 
0.210699 0.150451 0.25908 
0.223754 0.158305 0.273223 
0.202583 0.144177 0.253151 
0.183103 0.133634 0.232714 
0.170393 0.133099 0.207551 
0.196784 0.144106 0.234715 
0.198085 0.132165 0.248864 
0.188317 0.123057 0.242487 
0.191289 0.138756 0.24062 
0.187483 0.137317 0.247072 
0.166071 0.110043 0.21955 
0.188552 0.136498 0.23501 
0.182404 0.147308 0.209764 
0.220884 0.155198 0.281524 
0.235897 0.174771 0.29209 
0.2132 0.1417 0.264661 
0.225227 0.161826 0.282243 
0.192826 0.145168 0.244744 
0.245173 0.185745 0.29736 
0.18344 0.145345 0.205214 
0.183375 0.143333 0.228193 
0.16534 0.12238 0.216688 
0.22359 0.157941 0.271902 
0.237882 0.175863 0.292937 
0.193591 0.134805 0.249437 
0.167127 0.13489 0.22776 
0.204214 0.138483 0.264557 
0.187339 0.141201 0.2294 
0.213616 0.146899 0.264828 
0.218413 0.144649 0.274416 
0.198092 0.132512 0.25573 
0.158911 0.117947 0.235658 
0.198937 0.130361 0.256692 
0.210868 0.151506 0.267043 
0.201797 0.130509 0.260072 
0.210504 0.160804 0.262887 
0.189926 0.124135 0.238821 
0.22621 0.166852 0.277708 
0.213058 0.156809 0.275887 
0.161923 0.123249 0.215842 
0.189241 0.140997 0.254523 
0.207752 0.157139 0.249888 
0.179867 0.130273 0.233619 
0.193438 0.140499 0.23739 
0.159859 0.135808 0.208671 
0.204508 0.158705 0.262612 
0.20338 0.142469 0.253125 
0.186029 0.124646 0.247394 
0.159775 0.161222 0.158479 
0.209977 0.155258 0.269098 
0.188641 0.134337 0.25403 
0.156611 0.125781 0.215942 
0.199248 0.130372 0.24772 
0.208076 0.149665 0.258538 
0.213633 0.156742 0.266973 
0.202166 0.13927 0.257479 
0.220402 0.15774 0.279643 
0.194319 0.123202 0.261844 
0.179024 0.129025 0.221898 
0.18648 0.12654 0.243889 
0.247709 0.187054 0.311675 
0.164135 0.143 0.216721 
0.182511 0.131647 0.235199 
0.227096 0.166176 0.279441 
0.203768 0.151408 0.246413 
0.230132 0.166042 0.289679 
0.217026 0.15759 0.276411 
0.188095 0.13126 0.231528 
0.215397 0.152366 0.251346 
0.184547 0.127468 0.23934 
0.178998 0.118667 0.235007 
0.185942 0.119176 0.239939 
0.190136 0.12714 0.250684 
0.195183 0.124134 0.261084 
0.0978829 0.13998 0.185692 
0.202632 0.142952 0.260928 
0.202068 0.148089 0.257398 
0.219166 0.153459 0.280243 
0.178093 0.126124 0.20745 
0.185163 0.137764 0.247351 
0.20391 0.155136 0.241066 
0.225979 0.165712 0.268566 
0.204485 0.158441 0.255989 
0.184217 0.121131 0.234901 
0.177937 0.135867 0.212164 
0.201839 0.146927 0.243841 
0.219311 0.16363 0.261014 
0.167556 0.123335 0.220234 
0.178983 0.153831 0.245265 
0.199373 0.132071 0.247608 
0.205416 0.14844 0.265593 
0.209497 0.15454 0.254125 
0.126487 0.129533 0.204425 
0.213528 0.161974 0.271761 
0.191523 0.131515 0.244976 
0.225668 0.156549 0.287228 
0.202208 0.143852 0.248547 
0.228412 0.170234 0.295834 
0.214084 0.154739 0.261117 
0.202183 0.151619 0.233871 
0.167151 0.136477 0.19547 
0.203693 0.14989 0.268453 
0.174423 0.143601 0.187127 
0.163883 0.122157 0.228268 
0.180587 0.137374 0.239356 
0.238372 0.177704 0.296207 
0.212206 0.144651 0.269507 
0.215608 0.158619 0.267921 
0.190209 0.135789 0.243961 
0.220509 0.154614 0.276541 
0.193805 0.136348 0.249835 
0.140112 0.146561 0.161252 
0.190918 0.126247 0.250745 
0.184902 0.142559 0.224123 
0.202002 0.145981 0.24706 
0.182505 0.146012 0.238589 
0.18774 0.142116 0.230852 
0.18948 0.134259 0.222898 
0.192095 0.114922 0.239112 
0.193525 0.141397 0.238453 
0.228373 0.172531 0.286815 
0.176724 0.138149 0.243914 
0.146644 0.127969 0.22439 
0.169638 0.0917362 0.237273 
0.198554 0.139783 0.239001 
0.226691 0.171736 0.283874 
0.122151 0.137638 0.189701 
0.204939 0.142072 0.259675 
0.225024 0.171385 0.276701 
0.158526 0.0899679 0.240251 
0.219525 0.158046 0.274202 
0.198422 0.142421 0.265047 
0.193403 0.15082 0.236909 
0.15937 0.125947 0.196487 
0.171654 0.118028 0.214814 
0.100207 0.125365 0.19772 
0.218214 0.155418 0.269628 
0.168447 0.140806 0.201012 
0.223804 0.151126 0.278479 
0.184727 0.13061 0.23 
0.175946 0.121186 0.215235 
0.222862 0.166273 0.266761 
0.210552 0.158066 0.260695 
0.199897 0.136433 0.25492 
0.219945 0.166506 0.281504 
0.180774 0.133176 0.223093 
0.221069 0.151961 0.280274 
0.224526 0.163129 0.274522 
0.215855 0.144592 0.263792 
0.196548 0.142473 0.242736 
0.192015 0.12835 0.251567 
0.2246 0.160777 0.276129 
0.182798 0.137193 0.223329 
0.190054 0.120211 0.247042 
0.172876 0.154974 0.180865 
0.206588 0.160009 0.260572 
0.178959 0.143581 0.223714 
0.183676 0.155052 0.206958 
0.0966142 0.143377 0.188638 
0.218595 0.150804 0.265904 
0.222287 0.163584 0.274718 
0.222094 0.157853 0.2797 
0.230692 0.168513 0.284818 
0.188875 0.125487 0.242181 
0.228968 0.169247 0.28215 
0.203486 0.140847 0.250466 
0.174694 0.138525 0.236353 
0.175032 0.126322 0.234276 
0.236908 0.184723 0.297977 
0.169807 0.151026 0.218575 
0.12013 0.11515 0.196592 
0.22378 0.153765 0.280885 
0.197859 0.135716 0.254068 
0.192003 0.152472 0.233117 
0.175012 0.121595 0.220555 
0.158423 0.142587 0.198365 
0.174543 0.150874 0.194894 
0.224642 0.163021 0.279201 
0.185182 0.133803 0.230065 
0.189471 0.13167 0.22794 
0.232319 0.169849 0.284672 
0.193998 0.143687 0.23422 
0.215156 0.155381 0.277821 
0.206852 0.153394 0.269481 
0.168303 0.141565 0.221972 
0.21767 0.153268 0.268065 
0.184692 0.122452 0.23423 
0.209049 0.152488 0.262213 
0.147901 0.163552 0.145559 
0.223545 0.165152 0.278549 
0.174586 0.132995 0.211699 
0.189353 0.133964 0.241676 
0.231417 0.1728 0.287148 
0.221352 0.1536 0.287301 
0.224749 0.154509 0.283975 
0.182288 0.137573 0.250296 
0.160118 0.135122 0.206956 
0.197659 0.153914 0.247308 
0.189107 0.14412 0.236737 
0.20192 0.147822 0.255152 
0.138222 0.136692 0.203386 
0.191751 0.136396 0.245585 
0.207791 0.142123 0.261444 
0.236719 0.173692 0.294812 
0.223513 0.16808 0.278062 
0.198412 0.154503 0.243975 
0.147083 0.14759 0.176051 
